======================================================================
Phase 1: CMA-ES Optimization (Seed: 1115)
======================================================================
CMA Gen 1: Loss=2.506972e+01 (Deg=3.768374e+00, PenRe=1.25e+02, PenIm=8.84e+01)
CMA Gen 10: Loss=1.939845e+01 (Deg=1.367000e+00, PenRe=1.16e+02, PenIm=6.42e+01)
CMA Gen 20: Loss=1.937324e+01 (Deg=2.800739e+00, PenRe=1.03e+02, PenIm=6.30e+01)
CMA Gen 30: Loss=1.937324e+01 (Deg=2.800739e+00, PenRe=1.03e+02, PenIm=6.30e+01)
CMA Gen 40: Loss=1.937324e+01 (Deg=2.800739e+00, PenRe=1.03e+02, PenIm=6.30e+01)
CMA Gen 50: Loss=1.902547e+01 (Deg=1.138399e+00, PenRe=1.18e+02, PenIm=6.13e+01)
CMA Gen 60: Loss=1.795966e+01 (Deg=1.413413e+00, PenRe=1.08e+02, PenIm=5.77e+01)
CMA Gen 70: Loss=1.795966e+01 (Deg=1.413413e+00, PenRe=1.08e+02, PenIm=5.77e+01)
CMA Gen 80: Loss=1.794391e+01 (Deg=1.314734e+00, PenRe=1.11e+02, PenIm=5.54e+01)
CMA Gen 90: Loss=1.752438e+01 (Deg=1.221766e+00, PenRe=1.11e+02, PenIm=5.16e+01)
CMA Gen 100: Loss=1.698528e+01 (Deg=1.087158e+00, PenRe=1.13e+02, PenIm=4.61e+01)
CMA Gen 110: Loss=1.672707e+01 (Deg=2.155641e+00, PenRe=1.01e+02, PenIm=4.47e+01)
CMA Gen 120: Loss=1.661475e+01 (Deg=1.880272e+00, PenRe=1.04e+02, PenIm=4.30e+01)
CMA Gen 130: Loss=1.651951e+01 (Deg=2.244641e+00, PenRe=1.00e+02, PenIm=4.28e+01)
CMA Gen 140: Loss=1.645213e+01 (Deg=2.136092e+00, PenRe=1.01e+02, PenIm=4.22e+01)
CMA Gen 150: Loss=1.644470e+01 (Deg=2.078627e+00, PenRe=1.01e+02, PenIm=4.24e+01)
CMA Gen 160: Loss=1.640342e+01 (Deg=2.083948e+00, PenRe=1.02e+02, PenIm=4.16e+01)
CMA Gen 170: Loss=1.639991e+01 (Deg=2.027240e+00, PenRe=1.02e+02, PenIm=4.20e+01)
CMA Gen 180: Loss=1.638217e+01 (Deg=2.048944e+00, PenRe=1.02e+02, PenIm=4.17e+01)
CMA Gen 190: Loss=1.637419e+01 (Deg=2.046590e+00, PenRe=1.02e+02, PenIm=4.17e+01)
CMA Gen 200: Loss=1.635487e+01 (Deg=2.078098e+00, PenRe=1.01e+02, PenIm=4.14e+01)
CMA Gen 210: Loss=1.634601e+01 (Deg=2.086879e+00, PenRe=1.01e+02, PenIm=4.13e+01)
CMA Gen 220: Loss=1.633350e+01 (Deg=2.044926e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 230: Loss=1.633021e+01 (Deg=2.020156e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 240: Loss=1.632537e+01 (Deg=2.040666e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 250: Loss=1.632090e+01 (Deg=2.001208e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 260: Loss=1.632004e+01 (Deg=2.023881e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 270: Loss=1.631561e+01 (Deg=2.030999e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 280: Loss=1.631393e+01 (Deg=2.024376e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 290: Loss=1.631357e+01 (Deg=2.024369e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 300: Loss=1.631261e+01 (Deg=2.018741e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 310: Loss=1.631258e+01 (Deg=2.021943e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 320: Loss=1.631243e+01 (Deg=2.021108e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 330: Loss=1.631231e+01 (Deg=2.020761e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 340: Loss=1.631222e+01 (Deg=2.020828e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 350: Loss=1.631219e+01 (Deg=2.020598e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 360: Loss=1.631214e+01 (Deg=2.020411e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 370: Loss=1.631210e+01 (Deg=2.020569e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 380: Loss=1.631155e+01 (Deg=2.014314e+00, PenRe=1.02e+02, PenIm=4.12e+01)
CMA Gen 390: Loss=1.630588e+01 (Deg=1.928767e+00, PenRe=1.02e+02, PenIm=4.13e+01)
CMA Gen 400: Loss=1.629523e+01 (Deg=1.890729e+00, PenRe=1.03e+02, PenIm=4.13e+01)
CMA Gen 410: Loss=1.628843e+01 (Deg=1.847073e+00, PenRe=1.03e+02, PenIm=4.14e+01)
CMA Gen 420: Loss=1.628441e+01 (Deg=1.827013e+00, PenRe=1.03e+02, PenIm=4.14e+01)
CMA Gen 430: Loss=1.627993e+01 (Deg=1.783559e+00, PenRe=1.04e+02, PenIm=4.14e+01)
CMA Gen 440: Loss=1.627666e+01 (Deg=1.782726e+00, PenRe=1.04e+02, PenIm=4.14e+01)
CMA Gen 450: Loss=1.627187e+01 (Deg=1.749218e+00, PenRe=1.04e+02, PenIm=4.14e+01)
CMA Gen 460: Loss=1.626652e+01 (Deg=1.723246e+00, PenRe=1.04e+02, PenIm=4.15e+01)
CMA Gen 470: Loss=1.626625e+01 (Deg=1.732318e+00, PenRe=1.04e+02, PenIm=4.15e+01)
CMA Gen 480: Loss=1.626397e+01 (Deg=1.728919e+00, PenRe=1.04e+02, PenIm=4.15e+01)
CMA Gen 490: Loss=1.626290e+01 (Deg=1.715463e+00, PenRe=1.04e+02, PenIm=4.15e+01)
CMA Gen 500: Loss=1.626118e+01 (Deg=1.701111e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 510: Loss=1.625984e+01 (Deg=1.702294e+00, PenRe=1.04e+02, PenIm=4.15e+01)
CMA Gen 520: Loss=1.625902e+01 (Deg=1.703578e+00, PenRe=1.04e+02, PenIm=4.15e+01)
CMA Gen 530: Loss=1.625836e+01 (Deg=1.698935e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 540: Loss=1.625766e+01 (Deg=1.698171e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 550: Loss=1.625728e+01 (Deg=1.697428e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 560: Loss=1.625669e+01 (Deg=1.695568e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 570: Loss=1.625546e+01 (Deg=1.695362e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 580: Loss=1.625467e+01 (Deg=1.696761e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 590: Loss=1.625467e+01 (Deg=1.696761e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 600: Loss=1.625348e+01 (Deg=1.693604e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 610: Loss=1.625310e+01 (Deg=1.692527e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 620: Loss=1.625281e+01 (Deg=1.692041e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 630: Loss=1.625208e+01 (Deg=1.689486e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 640: Loss=1.625198e+01 (Deg=1.688819e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 650: Loss=1.625124e+01 (Deg=1.686768e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 660: Loss=1.625049e+01 (Deg=1.688070e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 670: Loss=1.624992e+01 (Deg=1.689833e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 680: Loss=1.624957e+01 (Deg=1.686855e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 690: Loss=1.624957e+01 (Deg=1.686855e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 700: Loss=1.624945e+01 (Deg=1.686486e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 710: Loss=1.624897e+01 (Deg=1.686859e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 720: Loss=1.624867e+01 (Deg=1.688350e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 730: Loss=1.624812e+01 (Deg=1.687148e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 740: Loss=1.624766e+01 (Deg=1.685908e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 750: Loss=1.624660e+01 (Deg=1.680348e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 760: Loss=1.624611e+01 (Deg=1.672254e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 770: Loss=1.624576e+01 (Deg=1.673406e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 780: Loss=1.624509e+01 (Deg=1.671583e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 790: Loss=1.624476e+01 (Deg=1.671726e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 800: Loss=1.624475e+01 (Deg=1.670917e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 810: Loss=1.624451e+01 (Deg=1.670663e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 820: Loss=1.624440e+01 (Deg=1.670379e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 830: Loss=1.624434e+01 (Deg=1.670439e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 840: Loss=1.624429e+01 (Deg=1.670326e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 850: Loss=1.624424e+01 (Deg=1.670076e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 860: Loss=1.624416e+01 (Deg=1.670130e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 870: Loss=1.624416e+01 (Deg=1.670130e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 880: Loss=1.624416e+01 (Deg=1.670130e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 890: Loss=1.624413e+01 (Deg=1.670022e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 900: Loss=1.624411e+01 (Deg=1.669864e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 910: Loss=1.624396e+01 (Deg=1.669647e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 920: Loss=1.624372e+01 (Deg=1.670497e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 930: Loss=1.624360e+01 (Deg=1.669791e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 940: Loss=1.624331e+01 (Deg=1.669748e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 950: Loss=1.624291e+01 (Deg=1.668502e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 960: Loss=1.624291e+01 (Deg=1.668502e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 970: Loss=1.624291e+01 (Deg=1.668502e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 980: Loss=1.624291e+01 (Deg=1.668502e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 990: Loss=1.624278e+01 (Deg=1.668340e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1000: Loss=1.624233e+01 (Deg=1.667945e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1010: Loss=1.624200e+01 (Deg=1.668926e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1020: Loss=1.624097e+01 (Deg=1.669219e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1030: Loss=1.624069e+01 (Deg=1.667067e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1040: Loss=1.624041e+01 (Deg=1.665019e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1050: Loss=1.623940e+01 (Deg=1.652605e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1060: Loss=1.623794e+01 (Deg=1.660526e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1070: Loss=1.623739e+01 (Deg=1.652943e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1080: Loss=1.623632e+01 (Deg=1.653711e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1090: Loss=1.623572e+01 (Deg=1.652750e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1100: Loss=1.623572e+01 (Deg=1.649276e+00, PenRe=1.04e+02, PenIm=4.16e+01)
CMA Gen 1110: Loss=1.623547e+01 (Deg=1.649978e+00, PenRe=1.04e+02, PenIm=4.16e+01)
