======================================================================
Phase 1: CMA-ES Optimization (Seed: 610)
======================================================================
CMA Gen 1: Loss=2.180472e+03 (Deg=7.844267e+01, PenRe=3.41e+01, PenIm=7.10e+01)
CMA Gen 10: Loss=1.528962e+03 (Deg=7.391171e+01, PenRe=0.00e+00, PenIm=7.28e+01)
CMA Gen 20: Loss=1.490317e+03 (Deg=2.412875e+01, PenRe=0.00e+00, PenIm=7.33e+01)
CMA Gen 30: Loss=1.442294e+03 (Deg=4.701098e+01, PenRe=0.00e+00, PenIm=6.98e+01)
CMA Gen 40: Loss=1.312569e+03 (Deg=1.094095e+01, PenRe=0.00e+00, PenIm=6.51e+01)
CMA Gen 50: Loss=1.268723e+03 (Deg=4.444107e+01, PenRe=0.00e+00, PenIm=6.12e+01)
CMA Gen 60: Loss=1.222295e+03 (Deg=4.778069e+01, PenRe=0.00e+00, PenIm=5.87e+01)
CMA Gen 70: Loss=1.212944e+03 (Deg=4.106442e+01, PenRe=0.00e+00, PenIm=5.86e+01)
CMA Gen 80: Loss=1.168184e+03 (Deg=5.405530e+01, PenRe=0.00e+00, PenIm=5.57e+01)
CMA Gen 90: Loss=1.146841e+03 (Deg=6.460784e+01, PenRe=0.00e+00, PenIm=5.41e+01)
CMA Gen 100: Loss=1.136202e+03 (Deg=6.654339e+01, PenRe=0.00e+00, PenIm=5.35e+01)
CMA Gen 110: Loss=1.135719e+03 (Deg=6.531571e+01, PenRe=0.00e+00, PenIm=5.35e+01)
CMA Gen 120: Loss=1.135666e+03 (Deg=6.796914e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 130: Loss=1.135662e+03 (Deg=6.756944e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 140: Loss=1.135662e+03 (Deg=6.765659e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 150: Loss=1.135662e+03 (Deg=6.765653e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 160: Loss=1.135662e+03 (Deg=6.765327e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 170: Loss=1.135662e+03 (Deg=6.765379e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 180: Loss=1.135662e+03 (Deg=6.765419e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 190: Loss=1.135662e+03 (Deg=6.765450e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 200: Loss=1.135662e+03 (Deg=6.765376e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 210: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 220: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 230: Loss=1.135662e+03 (Deg=6.765351e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 240: Loss=1.135662e+03 (Deg=6.765350e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 250: Loss=1.135662e+03 (Deg=6.765381e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 260: Loss=1.135662e+03 (Deg=6.765381e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 270: Loss=1.135662e+03 (Deg=6.765381e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 280: Loss=1.135662e+03 (Deg=6.765381e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 290: Loss=1.135662e+03 (Deg=6.765381e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 300: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 310: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 320: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 330: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 340: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 350: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 360: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 370: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 380: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 390: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 400: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 410: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 420: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 430: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 440: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 450: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 460: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 470: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 480: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 490: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 500: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 510: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 520: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 530: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 540: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 550: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 560: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 570: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 580: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 590: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 600: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 610: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 620: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 630: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 640: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 650: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 660: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 670: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 680: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 690: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 700: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 710: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 720: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 730: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 740: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 750: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 760: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 770: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 780: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 790: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 800: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 810: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 820: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 830: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 840: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 850: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 860: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 870: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 880: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 890: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 900: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 910: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 920: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 930: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 940: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 950: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 960: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 970: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 980: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 990: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1000: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1010: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1020: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1030: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1040: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1050: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1060: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1070: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1080: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1090: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1100: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1110: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1120: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1130: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1140: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1150: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1160: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
