======================================================================
Phase 1: Differential Evolution - Seed 1115
======================================================================
Using workers=10
DE Iter     1: Loss=1.016073e+05 (Spread=6.405891e+01, PenIm=1.02e+05, convergence=0.000e+00)
DE Iter   100: Loss=4.412900e+01 (Spread=4.412900e+01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   200: Loss=1.437818e+01 (Spread=1.437818e+01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   300: Loss=5.980552e+00 (Spread=5.980552e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   400: Loss=5.505303e+00 (Spread=5.505303e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   500: Loss=4.498266e+00 (Spread=4.498266e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   600: Loss=1.872740e+00 (Spread=1.872740e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   700: Loss=1.656953e+00 (Spread=1.656953e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   800: Loss=5.921756e-01 (Spread=5.921756e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   900: Loss=4.521955e-01 (Spread=4.521955e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1000: Loss=3.197832e-01 (Spread=3.197832e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1100: Loss=2.294161e-01 (Spread=2.294161e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1200: Loss=1.029369e-01 (Spread=1.029369e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1300: Loss=3.266812e-02 (Spread=3.266812e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1400: Loss=3.266812e-02 (Spread=3.266812e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1500: Loss=1.149956e-02 (Spread=1.149956e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1600: Loss=3.536188e-03 (Spread=3.536188e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1700: Loss=3.536188e-03 (Spread=3.536188e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1800: Loss=1.601618e-03 (Spread=1.601618e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1900: Loss=1.177275e-03 (Spread=1.177275e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2000: Loss=5.680134e-04 (Spread=5.680134e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2100: Loss=1.320392e-04 (Spread=1.320392e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2200: Loss=1.249133e-04 (Spread=1.249133e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2300: Loss=1.249133e-04 (Spread=1.249133e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2400: Loss=9.814083e-05 (Spread=9.814083e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2500: Loss=5.144882e-05 (Spread=5.144882e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2600: Loss=1.451264e-05 (Spread=1.451264e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2700: Loss=1.451264e-05 (Spread=1.451264e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2800: Loss=1.315337e-05 (Spread=1.315337e-05, PenIm=0.00e+00, convergence=0.000e+00)
