======================================================================
Phase 1: CMA-ES Optimization (Seed: 650)
======================================================================
CMA Gen 530: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 540: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 550: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 560: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 570: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 580: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 590: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 600: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 610: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 620: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 630: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 640: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 650: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 660: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 670: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 680: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 690: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 700: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 710: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
