======================================================================
Phase 1: Differential Evolution - Seed 810
======================================================================
Using workers=10
DE Iter     1: Loss=1.160681e+05 (Spread=5.822895e+00, PenIm=1.16e+05, convergence=0.000e+00)
  Eigenvalues: λ1=-1.760-1.593i, λ2=-0.050-2.216i, λ3=+1.592-2.036i
DE Iter   100: Loss=3.161716e+01 (Spread=3.161716e+01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-0.465-5.340i, λ2=-0.277-8.581i, λ3=+5.223-9.829i
DE Iter   200: Loss=6.972851e+00 (Spread=6.972851e+00, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.140-9.115i, λ2=-1.990-9.823i, λ3=-2.511-7.428i
DE Iter   300: Loss=1.343041e+00 (Spread=1.343041e+00, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-0.433-8.413i, λ2=-1.066-9.240i, λ3=-1.787-8.475i
DE Iter   400: Loss=1.286518e+00 (Spread=1.286518e+00, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.324-9.220i, λ2=-1.161-8.525i, λ3=-0.844-7.693i
DE Iter   500: Loss=5.522023e-01 (Spread=5.522023e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.295-9.221i, λ2=-1.346-8.579i, λ3=-1.210-8.189i
DE Iter   600: Loss=3.586024e-01 (Spread=3.586024e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-0.931-8.789i, λ2=-1.560-8.494i, λ3=-1.090-8.252i
DE Iter   700: Loss=1.237631e-01 (Spread=1.237631e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.184-8.369i, λ2=-0.777-8.373i, λ3=-0.877-8.146i
DE Iter   800: Loss=1.193918e-01 (Spread=1.193918e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.210-8.652i, λ2=-0.999-8.447i, λ3=-1.163-8.216i
DE Iter   900: Loss=7.628371e-02 (Spread=7.628371e-02, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.130-8.611i, λ2=-1.029-8.449i, λ3=-1.249-8.288i
DE Iter  1000: Loss=3.339451e-02 (Spread=3.339451e-02, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.237-8.641i, λ2=-1.119-8.456i, λ3=-1.250-8.456i
DE Iter  1100: Loss=3.339451e-02 (Spread=3.339451e-02, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.237-8.641i, λ2=-1.119-8.456i, λ3=-1.250-8.456i
DE Iter  1200: Loss=1.728529e-02 (Spread=1.728529e-02, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.125-8.533i, λ2=-1.241-8.568i, λ3=-1.230-8.438i
DE Iter  1300: Loss=1.145863e-02 (Spread=1.145863e-02, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.190-8.588i, λ2=-1.188-8.513i, λ3=-1.262-8.463i
DE Iter  1400: Loss=3.826229e-03 (Spread=3.826229e-03, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.240-8.584i, λ2=-1.211-8.538i, λ3=-1.254-8.509i
DE Iter  1500: Loss=3.826229e-03 (Spread=3.826229e-03, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.240-8.584i, λ2=-1.211-8.538i, λ3=-1.254-8.509i
DE Iter  1600: Loss=1.790948e-03 (Spread=1.790948e-03, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.206-8.540i, λ2=-1.234-8.557i, λ3=-1.247-8.514i
DE Iter  1700: Loss=1.318108e-03 (Spread=1.318108e-03, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.251-8.558i, λ2=-1.232-8.543i, λ3=-1.216-8.520i
DE Iter  1800: Loss=8.136902e-04 (Spread=8.136902e-04, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.230-8.561i, λ2=-1.236-8.523i, λ3=-1.244-8.547i
DE Iter  1900: Loss=5.318562e-04 (Spread=5.318562e-04, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.249-8.557i, λ2=-1.236-8.537i, λ3=-1.225-8.539i
DE Iter  2000: Loss=3.340745e-04 (Spread=3.340745e-04, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.222-8.547i, λ2=-1.231-8.536i, λ3=-1.245-8.539i
DE Iter  2100: Loss=1.851527e-04 (Spread=1.851527e-04, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-1.232-8.551i, λ2=-1.239-8.533i, λ3=-1.235-8.544i
