======================================================================
Phase 1: CMA-ES Optimization (Seed: 610)
======================================================================
CMA Gen 1: Loss=2.576063e+01 (Deg=9.284254e+00, PenRe=7.90e+01, PenIm=8.58e+01)
CMA Gen 10: Loss=2.036895e+01 (Deg=1.996031e+00, PenRe=1.18e+02, PenIm=6.60e+01)
CMA Gen 20: Loss=2.036895e+01 (Deg=1.996031e+00, PenRe=1.18e+02, PenIm=6.60e+01)
CMA Gen 30: Loss=1.968638e+01 (Deg=1.634923e+00, PenRe=1.08e+02, PenIm=7.26e+01)
CMA Gen 40: Loss=1.968638e+01 (Deg=1.634923e+00, PenRe=1.08e+02, PenIm=7.26e+01)
CMA Gen 50: Loss=1.956493e+01 (Deg=1.389962e+00, PenRe=1.14e+02, PenIm=6.77e+01)
CMA Gen 60: Loss=1.916626e+01 (Deg=1.465153e+00, PenRe=1.16e+02, PenIm=6.09e+01)
CMA Gen 70: Loss=1.900201e+01 (Deg=1.868860e+00, PenRe=1.10e+02, PenIm=6.15e+01)
CMA Gen 80: Loss=1.836689e+01 (Deg=8.568610e-01, PenRe=1.19e+02, PenIm=5.64e+01)
CMA Gen 90: Loss=1.764126e+01 (Deg=1.752560e+00, PenRe=1.05e+02, PenIm=5.36e+01)
CMA Gen 100: Loss=1.734020e+01 (Deg=1.813443e+00, PenRe=1.05e+02, PenIm=5.00e+01)
CMA Gen 110: Loss=1.702249e+01 (Deg=1.633836e+00, PenRe=1.05e+02, PenIm=4.92e+01)
CMA Gen 120: Loss=1.660291e+01 (Deg=1.929381e+00, PenRe=1.02e+02, PenIm=4.44e+01)
CMA Gen 130: Loss=1.624925e+01 (Deg=2.093686e+00, PenRe=9.88e+01, PenIm=4.27e+01)
CMA Gen 140: Loss=1.591700e+01 (Deg=2.115336e+00, PenRe=9.91e+01, PenIm=3.89e+01)
CMA Gen 150: Loss=1.579249e+01 (Deg=1.873355e+00, PenRe=1.00e+02, PenIm=3.87e+01)
CMA Gen 160: Loss=1.566216e+01 (Deg=1.707416e+00, PenRe=1.01e+02, PenIm=3.83e+01)
CMA Gen 170: Loss=1.553980e+01 (Deg=1.787259e+00, PenRe=1.00e+02, PenIm=3.74e+01)
CMA Gen 180: Loss=1.546662e+01 (Deg=1.842279e+00, PenRe=9.87e+01, PenIm=3.75e+01)
CMA Gen 190: Loss=1.540722e+01 (Deg=1.535740e+00, PenRe=1.01e+02, PenIm=3.73e+01)
CMA Gen 200: Loss=1.538432e+01 (Deg=1.500580e+00, PenRe=1.01e+02, PenIm=3.74e+01)
CMA Gen 210: Loss=1.533783e+01 (Deg=1.359488e+00, PenRe=1.02e+02, PenIm=3.74e+01)
CMA Gen 220: Loss=1.532646e+01 (Deg=1.331174e+00, PenRe=1.03e+02, PenIm=3.72e+01)
CMA Gen 230: Loss=1.531339e+01 (Deg=1.352714e+00, PenRe=1.03e+02, PenIm=3.70e+01)
CMA Gen 240: Loss=1.530534e+01 (Deg=1.332411e+00, PenRe=1.03e+02, PenIm=3.71e+01)
CMA Gen 250: Loss=1.530381e+01 (Deg=1.318211e+00, PenRe=1.03e+02, PenIm=3.71e+01)
CMA Gen 260: Loss=1.529828e+01 (Deg=1.305805e+00, PenRe=1.03e+02, PenIm=3.71e+01)
CMA Gen 270: Loss=1.529482e+01 (Deg=1.267890e+00, PenRe=1.03e+02, PenIm=3.72e+01)
CMA Gen 280: Loss=1.529237e+01 (Deg=1.238274e+00, PenRe=1.03e+02, PenIm=3.72e+01)
CMA Gen 290: Loss=1.529029e+01 (Deg=1.225879e+00, PenRe=1.03e+02, PenIm=3.72e+01)
CMA Gen 300: Loss=1.528906e+01 (Deg=1.205495e+00, PenRe=1.04e+02, PenIm=3.72e+01)
CMA Gen 310: Loss=1.528801e+01 (Deg=1.218526e+00, PenRe=1.03e+02, PenIm=3.72e+01)
