======================================================================
Phase 1: CMA-ES Optimization (Seed: 630)
======================================================================
CMA Gen 1: Loss=1.864535e+01 (Deg=9.847203e+00, PenRe=4.78e+00, PenIm=8.32e+01)
CMA Gen 10: Loss=1.470052e+01 (Deg=6.597469e+00, PenRe=1.23e+00, PenIm=7.98e+01)
CMA Gen 20: Loss=8.218559e+00 (Deg=1.011472e+00, PenRe=0.00e+00, PenIm=7.21e+01)
CMA Gen 30: Loss=7.497166e+00 (Deg=5.129091e-01, PenRe=0.00e+00, PenIm=6.98e+01)
CMA Gen 40: Loss=7.285913e+00 (Deg=3.579301e-01, PenRe=0.00e+00, PenIm=6.93e+01)
CMA Gen 50: Loss=7.269504e+00 (Deg=3.451380e-01, PenRe=0.00e+00, PenIm=6.92e+01)
CMA Gen 60: Loss=7.257202e+00 (Deg=3.452772e-01, PenRe=0.00e+00, PenIm=6.91e+01)
CMA Gen 70: Loss=7.249750e+00 (Deg=3.585864e-01, PenRe=0.00e+00, PenIm=6.89e+01)
CMA Gen 80: Loss=7.241320e+00 (Deg=3.500091e-01, PenRe=0.00e+00, PenIm=6.89e+01)
CMA Gen 90: Loss=7.173717e+00 (Deg=3.399568e-01, PenRe=0.00e+00, PenIm=6.83e+01)
CMA Gen 100: Loss=7.173717e+00 (Deg=3.399568e-01, PenRe=0.00e+00, PenIm=6.83e+01)
CMA Gen 110: Loss=7.173101e+00 (Deg=3.397169e-01, PenRe=0.00e+00, PenIm=6.83e+01)
CMA Gen 120: Loss=7.165121e+00 (Deg=3.419030e-01, PenRe=0.00e+00, PenIm=6.82e+01)
CMA Gen 130: Loss=7.145576e+00 (Deg=3.377721e-01, PenRe=0.00e+00, PenIm=6.81e+01)
CMA Gen 140: Loss=7.145104e+00 (Deg=3.366513e-01, PenRe=0.00e+00, PenIm=6.81e+01)
CMA Gen 150: Loss=7.137878e+00 (Deg=3.357237e-01, PenRe=0.00e+00, PenIm=6.80e+01)
CMA Gen 160: Loss=7.120498e+00 (Deg=3.336674e-01, PenRe=0.00e+00, PenIm=6.79e+01)
CMA Gen 170: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 180: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 190: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 200: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 210: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 220: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 230: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 240: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 250: Loss=7.095602e+00 (Deg=3.376363e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 260: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 270: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 280: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 290: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 300: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 310: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 320: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 330: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 340: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 350: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 360: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 370: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 380: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 390: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 400: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 410: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 420: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 430: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 440: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 450: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 460: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 470: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 480: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 490: Loss=7.092218e+00 (Deg=3.306675e-01, PenRe=0.00e+00, PenIm=6.76e+01)
CMA Gen 500: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 510: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 520: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 530: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 540: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 550: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 560: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 570: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 580: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 590: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 600: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 610: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 620: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 630: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 640: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 650: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 660: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 670: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 680: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 690: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 700: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 710: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 720: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 730: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 740: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 750: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
CMA Gen 760: Loss=7.079231e+00 (Deg=3.300488e-01, PenRe=0.00e+00, PenIm=6.75e+01)
