======================================================================
Phase 1: Differential Evolution - Seed 1115
======================================================================
Using workers=10
DE Iter     1: Loss=1.210842e+05 (Spread=6.105164e+01, PenIm=1.21e+05, convergence=0.000e+00)
  Eigenvalues: λ1=-4.921-1.686i, λ2=-1.330-4.506i, λ3=+5.445-1.521i
DE Iter   100: Loss=1.672769e+01 (Spread=1.672769e+01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-0.128-6.182i, λ2=+4.777-8.202i, λ3=+3.391-5.505i
DE Iter   200: Loss=1.222934e+01 (Spread=1.222934e+01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.736-5.193i, λ2=+2.073-7.622i, λ3=+4.861-5.611i
DE Iter   300: Loss=4.151262e+00 (Spread=4.151262e+00, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-0.247-8.890i, λ2=+1.338-8.653i, λ3=+0.652-6.700i
DE Iter   400: Loss=3.051725e+00 (Spread=3.051725e+00, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-0.474-8.667i, λ2=+0.238-7.525i, λ3=+1.674-8.191i
DE Iter   500: Loss=1.957992e+00 (Spread=1.957992e+00, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=-0.002-7.874i, λ2=+0.618-7.952i, λ3=+1.913-7.652i
DE Iter   600: Loss=7.221912e-01 (Spread=7.221912e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.359-7.488i, λ2=+0.525-8.497i, λ3=+0.989-7.970i
DE Iter   700: Loss=6.233795e-01 (Spread=6.233795e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.101-7.618i, λ2=+0.390-8.193i, λ3=+1.035-7.919i
DE Iter   800: Loss=3.121652e-01 (Spread=3.121652e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.559-8.205i, λ2=+0.321-7.625i, λ3=+0.816-7.736i
DE Iter   900: Loss=2.466460e-01 (Spread=2.466460e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.703-8.265i, λ2=+0.263-8.154i, λ3=+0.361-7.761i
DE Iter  1000: Loss=1.582602e-01 (Spread=1.582602e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.727-8.089i, λ2=+0.413-8.131i, λ3=+0.396-7.746i
DE Iter  1100: Loss=1.362985e-01 (Spread=1.362985e-01, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.136-8.076i, λ2=+0.354-8.324i, λ3=+0.560-8.046i
DE Iter  1200: Loss=7.558248e-02 (Spread=7.558248e-02, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.556-7.999i, λ2=+0.509-7.883i, λ3=+0.720-7.683i
DE Iter  1300: Loss=7.558248e-02 (Spread=7.558248e-02, PenIm=0.00e+00, convergence=0.000e+00)
  Eigenvalues: λ1=+0.556-7.999i, λ2=+0.509-7.883i, λ3=+0.720-7.683i
