======================================================================
Phase 1: CMA-ES Optimization (Seed: 1115)
======================================================================
CMA Gen 1: Loss=2.275196e+03 (Deg=7.851520e+01, PenRe=4.43e+01, PenIm=6.55e+01)
CMA Gen 10: Loss=1.669025e+03 (Deg=1.418862e+02, PenRe=1.96e+01, PenIm=5.67e+01)
CMA Gen 20: Loss=1.227739e+03 (Deg=7.724162e+01, PenRe=1.53e+01, PenIm=4.22e+01)
CMA Gen 30: Loss=1.227739e+03 (Deg=7.724162e+01, PenRe=1.53e+01, PenIm=4.22e+01)
CMA Gen 40: Loss=1.120848e+03 (Deg=6.422651e+01, PenRe=1.96e+01, PenIm=3.32e+01)
CMA Gen 50: Loss=9.320795e+02 (Deg=7.690237e+01, PenRe=1.73e+01, PenIm=2.54e+01)
CMA Gen 60: Loss=8.411570e+02 (Deg=8.250658e+01, PenRe=1.47e+01, PenIm=2.33e+01)
CMA Gen 70: Loss=7.553666e+02 (Deg=9.523889e+01, PenRe=1.42e+01, PenIm=1.88e+01)
CMA Gen 80: Loss=7.537049e+02 (Deg=8.247327e+01, PenRe=1.51e+01, PenIm=1.84e+01)
CMA Gen 90: Loss=6.998857e+02 (Deg=8.065806e+01, PenRe=1.42e+01, PenIm=1.67e+01)
CMA Gen 100: Loss=6.879833e+02 (Deg=8.846690e+01, PenRe=1.34e+01, PenIm=1.66e+01)
CMA Gen 110: Loss=6.839494e+02 (Deg=8.769464e+01, PenRe=1.35e+01, PenIm=1.63e+01)
CMA Gen 120: Loss=6.824640e+02 (Deg=8.775479e+01, PenRe=1.36e+01, PenIm=1.62e+01)
CMA Gen 130: Loss=6.796688e+02 (Deg=8.720539e+01, PenRe=1.36e+01, PenIm=1.60e+01)
CMA Gen 140: Loss=6.783707e+02 (Deg=8.729622e+01, PenRe=1.36e+01, PenIm=1.59e+01)
CMA Gen 150: Loss=6.773602e+02 (Deg=8.734945e+01, PenRe=1.36e+01, PenIm=1.59e+01)
CMA Gen 160: Loss=6.767797e+02 (Deg=8.726950e+01, PenRe=1.36e+01, PenIm=1.58e+01)
CMA Gen 170: Loss=6.761923e+02 (Deg=8.734501e+01, PenRe=1.36e+01, PenIm=1.58e+01)
CMA Gen 180: Loss=6.757871e+02 (Deg=8.741292e+01, PenRe=1.36e+01, PenIm=1.58e+01)
CMA Gen 190: Loss=6.757145e+02 (Deg=8.749175e+01, PenRe=1.36e+01, PenIm=1.58e+01)
CMA Gen 200: Loss=6.753640e+02 (Deg=8.759005e+01, PenRe=1.36e+01, PenIm=1.58e+01)
CMA Gen 210: Loss=6.751017e+02 (Deg=8.769684e+01, PenRe=1.36e+01, PenIm=1.58e+01)
CMA Gen 220: Loss=6.748772e+02 (Deg=8.787142e+01, PenRe=1.36e+01, PenIm=1.58e+01)
CMA Gen 230: Loss=6.742418e+02 (Deg=8.841403e+01, PenRe=1.35e+01, PenIm=1.58e+01)
CMA Gen 240: Loss=6.741133e+02 (Deg=8.835716e+01, PenRe=1.35e+01, PenIm=1.58e+01)
CMA Gen 250: Loss=6.739130e+02 (Deg=8.846562e+01, PenRe=1.35e+01, PenIm=1.58e+01)
CMA Gen 260: Loss=6.739057e+02 (Deg=8.846684e+01, PenRe=1.35e+01, PenIm=1.58e+01)
CMA Gen 270: Loss=6.738044e+02 (Deg=8.847593e+01, PenRe=1.35e+01, PenIm=1.58e+01)
CMA Gen 280: Loss=6.736833e+02 (Deg=8.859352e+01, PenRe=1.35e+01, PenIm=1.58e+01)
CMA Gen 290: Loss=6.736374e+02 (Deg=8.864743e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 300: Loss=6.736135e+02 (Deg=8.866100e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 310: Loss=6.735891e+02 (Deg=8.868911e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 320: Loss=6.735701e+02 (Deg=8.871023e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 330: Loss=6.735530e+02 (Deg=8.874330e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 340: Loss=6.735317e+02 (Deg=8.877630e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 350: Loss=6.735127e+02 (Deg=8.880453e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 360: Loss=6.734924e+02 (Deg=8.882047e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 370: Loss=6.734655e+02 (Deg=8.885406e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 380: Loss=6.734555e+02 (Deg=8.887463e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 390: Loss=6.734496e+02 (Deg=8.888617e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 400: Loss=6.734422e+02 (Deg=8.889122e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 410: Loss=6.734287e+02 (Deg=8.890594e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 420: Loss=6.734191e+02 (Deg=8.891262e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 430: Loss=6.734144e+02 (Deg=8.891533e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 440: Loss=6.734088e+02 (Deg=8.892660e+01, PenRe=1.34e+01, PenIm=1.58e+01)
CMA Gen 450: Loss=6.734026e+02 (Deg=8.893356e+01, PenRe=1.34e+01, PenIm=1.58e+01)
